x,n=5,n=10,n=15,n=20
-2.4995437999847354,0.0025236991279445143,3.735685105699105E-11,1.3866685577568206E-16,1.3866685577568206E-16
-2.4954416999846103,0.0024829972617460864,3.615219945629633E-11,1.318944953254686E-16,1.318944953254686E-16
-2.491339599984485,0.0024428853423307116,3.49844944125266E-11,1.346700528870315E-16,1.346700528870315E-16
-2.48723749998436,0.0024033557914140895,3.3852676661894066E-11,1.304512053934559E-16,1.304512053934559E-16
-2.483135399984235,0.002364401115413838,3.275569282479296E-11,1.3167245072054356E-16,1.3167245072054356E-16
-2.47903329998411,0.0023260139046466176,3.1692520274795296E-11,1.361133428190442E-16,1.361133428190442E-16
-2.4749311999839847,0.002288186832531415,3.066219234071355E-11,1.3500311979441903E-16,1.3500311979441903E-16
-2.4708290999838596,0.0022509126547990577,2.966371770440901E-11,1.2823075934420558E-16,1.2823075934420558E-16
-2.4667269999837345,0.002214184208707718,2.8696184095622356E-11,1.3855583347321954E-16,1.3855583347321954E-16
-2.4626248999836093,0.002177994412264809,2.7758665033239537E-11,1.2789769243681802E-16,1.2789769243681802E-16
-2.458522799983484,0.0021423362634546087,2.6850283108004192E-11,1.3800072196090697E-16,1.3800072196090697E-16
-2.454420699983359,0.0021072028394721067,2.5970203321179497E-11,1.27675647831893E-16,1.27675647831893E-16
-2.450318599983234,0.002072587295962896,2.5117545932040742E-11,1.3000711618360584E-16,1.3000711618360584E-16
-2.446216499983109,0.0020384828662688213,2.4291524236552674E-11,1.391109449855321E-16,1.391109449855321E-16
-2.4421143999829837,0.0020048828606797,2.3491353973170705E-11,1.3988810110276973E-16,1.3988810110276973E-16
-2.4380122999828586,0.0019717806656909145,2.2716265313249552E-11,1.27675647831893E-16,1.27675647831893E-16
-2.4339101999827335,0.001939169743266848,2.1965493979259066E-11,1.3100631690576846E-16,1.3100631690576846E-16
-2.4298080999826084,0.0019070436301100071,2.1238337755136172E-11,1.3278267374516872E-16,1.3278267374516872E-16
-2.4257059999824833,0.001875395936936191,2.053407521795947E-11,1.3156142841808106E-16,1.3156142841808106E-16
-2.421603899982358,0.001844220347755117,1.9852034460754454E-11,1.334488075599438E-16,1.334488075599438E-16
-2.417501799982233,0.0018135106191569828,1.9191559563758176E-11,1.312283615106935E-16,1.312283615106935E-16
-2.413399699982108,0.0017832605796045842,1.855197395705943E-11,1.3167245072054356E-16,1.3167245072054356E-16
-2.409297599981983,0.0017534641287310303,1.7932689000410564E-11,1.353361867018066E-16,1.353361867018066E-16
-2.4051954999818577,0.0017241152366433007,1.7333049995293946E-11,1.3389289676979387E-16,1.3389289676979387E-16
-2.4010933999817325,0.0016952079432310137,1.6752494058636102E-11,1.346700528870315E-16,1.346700528870315E-16
-2.3969912999816074,0.0016667363574810804,1.6190440765839755E-11,1.2811973704174306E-16,1.2811973704174306E-16
-2.3928891999814823,0.0016386946567976313,1.5646331119612E-11,1.3156142841808106E-16,1.3156142841808106E-16
-2.388787099981357,0.001611077086327538,1.511961489342184E-11,1.3788969965844444E-16,1.3788969965844444E-16
-2.384684999981232,0.0015838779582912814,1.460976617462251E-11,1.3167245072054356E-16,1.3167245072054356E-16
-2.380582899981107,0.0015570916513193047,1.4116282587295359E-11,1.3211653993039362E-16,1.3211653993039362E-16
-2.376480799980982,0.0015307126097936863,1.3638651319425321E-11,1.3322676295501878E-16,1.3322676295501878E-16
-2.3723786999808567,0.0015047353431951625,1.317639608533483E-11,1.1612932837579138E-16,1.1612932837579138E-16
-2.3682765999807316,0.0014791544254554388,1.2729052922821892E-11,1.2012613126444195E-16,1.2012613126444195E-16
-2.3641744999806065,0.0014539644943148097,1.2296153650837028E-11,1.262323578998803E-16,1.262323578998803E-16
-2.3600723999804814,0.001429160250684959,1.1877272387827987E-11,1.2223555501122973E-16,1.2223555501122973E-16
